ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q1371024,Joseph Ward,1900-11-08,1906-08-06,,Q5539387
2,Q5539387,George Fowlds,1906-08-06,1909-01-06,Q1371024,Q5231868
3,Q5231868,David Buddo,1909-01-06,1912-03-28,Q5539387,Q5545896
4,Q5545896,George Warren Russell,1912-03-28,1912-07-10,Q5231868,Q5694438
5,Q5694438,Heaton Rhodes,1912-07-10,1915-08-12,Q5545896,Q5545896
,Q5545896,George Warren Russell,1915-08-12,1919-08-25,Q5694438,Q742508
6,Q742508,Francis Bell (New Zealand politician),1919-09-04,1920-04-03,Q5545896,Q6140966
7,Q6140966,James Parr (politician),1920-04-03,1923-06-07,Q742508,Q201495
8,Q201495,Maui Pomare,1923-06-07,1926-01-18,Q6140966,Q6128574
9,Q6128574,Alexander Young (New Zealand politician),1926-01-18,1928-12-10,Q201495,Q4800346
10,Q4800346,Arthur Stallworthy,1928-12-10,1931-09-22,Q6128574,Q6128574
,Q6128574,Alexander Young (New Zealand politician),1931-09-22,1935-12-06,Q4800346,Q1400226
11,Q1400226,Peter Fraser,1935-12-06,1940-04-30,Q6128574,Q15996205
12,Q15996205,Tim Armstrong (politician),1940-04-30,1941-01-21,Q1400226,Q695855
13,Q695855,Arnold Nordmeyer,1941-01-21,1947-05-29,Q15996205,Q1882350
14,Q1882350,Mabel Howard,1947-05-29,1949-12-13,Q695855,Q6115693
15,Q6115693,Jack Watts (politician),1949-12-13,1951-09-19,Q1882350,Q284733
16,Q284733,Jack Marshall,1951-09-19,1954-11-26,Q6115693,Q3418260
17,Q3418260,Ralph Hanan,1954-11-26,1957-12-12,Q284733,Q7319248
18,Q7319248,Rex Mason,1957-12-12,1960-12-12,Q3418260,Q16009386
19,Q16009386,Norman Shelton,1960-12-12,1962-01-24,Q7319248,Q5294944
20,Q5294944,Don McKay (politician),1962-01-24,1972-02-09,Q16009386,Q6483310
21,Q6483310,Lance Adams-Schneider,1972-02-09,1972-12-08,Q5294944,Q4934206
22,Q4934206,Bob Tizard,1972-12-08,1974-09-10,Q6483310,Q7816811
23,Q7816811,Tom McGuigan,1974-09-10,1975-12-12,Q4934206,Q5486854
24,Q5486854,Frank Gill (politician),1975-12-12,1978-12-13,Q7816811,Q5539580
25,Q5539580,George Gair,1978-12-13,1981-12-11,Q5486854,Q4822818
26,Q4822818,Aussie Malcolm,1981-12-11,1984-07-26,Q5539580,Q6828484
27,Q6828484,Michael Bassett,1984-07-26,1987-08-24,Q4822818,Q5232257
28,Q5232257,David Caygill,1987-08-24,1989-01-30,Q6828484,Q180383
29,Q180383,Helen Clark,1989-01-30,1990-11-02,Q5232257,Q7519940
30,Q7519940,Simon Upton,1990-11-02,1993-03-27,Q180383,Q4908149
31,Q4908149,Bill Birch,1993-03-27,1993-11-29,Q7519940,Q235996
32,Q235996,Jenny Shipley,1993-11-29,1996-12-16,Q4908149,Q4384608
33,Q4384608,Bill English,1996-12-16,1999-02-02,Q235996,Q8039486
34,Q8039486,Wyatt Creech,1999-02-02,1999-12-10,Q4384608,Q4769089
35,Q4769089,Annette King,1999-12-10,2005-10-19,Q8039486,Q7172024
36,Q7172024,Pete Hodgson,2005-10-19,2007-11-05,Q4769089,Q5232720
37,Q5232720,David Cunliffe,2007-11-05,2008-11-19,Q7172024,Q7823330
38,Q7823330,Tony Ryall,2008-11-19,2014-10-06,Q5232720,Q6272804
39,Q6272804,Jonathan Coleman (politician),2014-10-06,2017-10-26,Q7823330,Q3561074
40,Q3561074,David Clark (New Zealand politician),2017-10-26,2020-07-02,Q6272804,Q5106890
41,Q5106890,Chris Hipkins,2020-07-02,,Q3561074,
